Frame, x, y, z, roll, pitch, yaw
0,0,0,0,0,0,0
1,0,0,0.0156357,0,0,0
2,0,0,0.00584579,0,0,0
3,0,0,0.00562843,0,0,0
4,0,0,0.00562843,0,0,0
5,0,0,0.00562843,0,0,0
6,0,0,0.00562843,0,0,0
7,0,0,0.00562843,0,0,0
8,0,0,0.00562843,0,0,0
9,0,0,0.00562843,0,0,0
10,0,0,0.00562843,0,0,0
11,0,0,0.00562843,0,0,0
12,0,0,0.00591316,0,0,0
13,0,0,0.00677673,0,0,0
14,0,0,0.00704376,0,0,0
15,0,0,0.00710373,0,0,0
16,0,0,0.007099,0,0,0
17,0,0,0.00697754,0,0,0
18,0,0,0.00698051,0,0,0
19,0,0,0.00700378,0,0,0
20,0,0,0.00701149,0,0,0
21,0,0,0.00707542,0,0,0
22,0,0,0.00705162,0,0,0
23,0,0,0.00704933,0,0,0
24,0,0,0.00705543,0,0,0
25,0.0604782,0.000995159,0.00647659,-1.5979e-06,0.0012238,-0.000199843
26,0.160698,0.00248957,0.00662308,-7.45685e-06,0.000624895,-0.000387522
27,0.370605,0.00542593,0.00703094,-3.19579e-06,2.14577e-05,-0.000146724
28,0.546455,0.00821733,0.00696884,-3.19579e-06,-0.000162959,-0.000827053
29,0.707664,0.0106702,0.00704514,-3.19579e-06,2.02656e-06,-0.00102797
30,0.878593,0.012898,0.00700157,1.20835e-06,0.000123858,-0.000551929
31,1.05276,0.0153942,0.00695915,3.30692e-06,-5.48363e-05,-0.000106357
32,1.23901,0.0182381,0.00706047,8.00105e-06,-5.36442e-06,-0.000661568
33,1.401,0.0203567,0.00698914,-9.05475e-06,3.6478e-05,-0.000812232
34,1.56381,0.0227518,0.00704475,1.19977e-06,0.000183225,-0.00098136
35,1.75351,0.0252762,0.00698273,1.73662e-05,-3.3021e-05,-0.00057511
36,1.96255,0.0285273,0.00710442,-4.26106e-06,-3.21865e-06,-0.00108974
37,2.20524,0.03194,0.00697372,-3.19579e-06,0.000162721,-0.0010909
38,2.33857,0.033721,0.00705063,8.4954e-06,-0.000153422,-0.000860672
39,2.51186,0.03616,0.0069249,1.09923e-05,-7.18832e-05,-0.00144584
40,2.64989,0.0380292,0.00695511,-5.32632e-06,7.15256e-05,-0.00167603
41,2.77025,0.0397415,0.00696243,8.42789e-06,6.98566e-05,-0.00208115
42,2.92494,0.0418158,0.00699959,3.87652e-06,-6.49691e-05,-0.00180336
43,3.10966,0.0444484,0.00701256,-8.52211e-06,0.000118494,-0.00171033
44,3.24578,0.0462556,0.00697487,1.75538e-05,-3.34978e-05,-0.00141816
45,3.36207,0.0477438,0.00704712,2.36524e-06,-2.563e-05,-0.00127693
46,3.60239,0.050694,0.00699127,-1.5979e-06,-5.43594e-05,-8.82484e-05
47,3.72503,0.0522385,0.00697708,1.98586e-07,7.27177e-06,0.000510482
48,3.90093,0.0548835,0.00701202,-3.19579e-06,8.11815e-05,0.000705228
49,4.07912,0.0578432,0.00705772,-3.72843e-06,6.33001e-05,0.000179422
